,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2000/03/11,1,1,14:01,国立,鹿島,1,0,名古屋,テレビ朝日（単）,30794
1,2000/03/11,1,2,14:02,磐田,磐田,0,1,柏,ＮＨＫ総合,14056
2,2000/03/11,1,3,15:01,市原,市原,6,1,京都,千葉テレビ（録）／ディレクＴＶ（録）,6331
3,2000/03/11,1,4,15:03,神戸ユ,神戸,1,0,広島,サンテレビ（録）／Ｊ－ＳＰＯＲＴＳ,4354
4,2000/03/11,1,5,15:06,博多球,福岡,2,1,川崎Ｆ,ディレクＴＶ,10383
5,2000/03/11,1,6,16:03,日本平,清水,3,2,Ｃ大阪,静岡放送／ＢＳ,11660
6,2000/03/11,1,7,19:04,等々力,Ｖ川崎,2,1,Ｇ大阪,日本テレビ（録）／ＢＳ,7287
7,2000/03/11,1,8,19:07,横浜国,横浜FM,0,1,Ｆ東京,ＴＢＳ（全）,21841
0,2000/03/18,2,1,14:02,瑞穂陸,名古屋,0,1,磐田,テレビ朝日（全）,21071
1,2000/03/18,2,2,15:00,西京極,京都,1,3,Ｃ大阪,ＫＢＳ京都（録）／ディレクＴＶ（録）,5167
2,2000/03/18,2,3,15:04,国立,Ｆ東京,2,0,福岡,東京メトロポリタンテレビ／Ｊ－ＳＰＯＲＴＳ,10932
3,2000/03/18,2,4,15:04,日本平,清水,1,2,横浜FM,テレビ静岡,12466
4,2000/03/18,2,5,16:01,万博,Ｇ大阪,1,1,神戸,スカイパーフェクＴＶ！（録）,8093
5,2000/03/18,2,6,16:03,広島ビ,広島,1,1,市原,テレビ新広島,11197
6,2000/03/18,2,7,19:03,柏,柏,1,0,Ｖ川崎,ディレクＴＶ,8662
7,2000/03/18,2,8,19:04,等々力,川崎Ｆ,0,1,鹿島,ＢＳ,14285
0,2000/03/25,3,1,14:00,等々力,川崎Ｆ,0,1,広島,ディレクＴＶ（録）,5024
1,2000/03/25,3,2,14:00,長居,Ｃ大阪,5,2,Ｖ川崎,スカイパーフェクＴＶ！（録）,6771
2,2000/03/25,3,3,14:04,西京極,京都,1,0,Ｇ大阪,ＫＢＳ京都（録）／ＢＳ,6129
3,2000/03/25,3,4,14:34,日本平,清水,2,1,柏,テレビ静岡／ディレクＴＶ,11057
4,2000/03/25,3,5,15:03,横浜国,横浜FM,1,3,磐田,ＴＢＳ（単）,23288
5,2000/03/25,3,6,15:03,博多球,福岡,0,1,鹿島,Ｊ－ＳＰＯＲＴＳ,12622
6,2000/03/25,3,7,16:04,市原,市原,1,6,神戸,ＢＳ,4113
7,2000/03/25,3,8,19:04,国立,Ｆ東京,2,1,名古屋,東京メトロポリタンテレビ／ＢＳ,14368
0,2000/04/01,4,1,13:33,等々力,Ｖ川崎,0,1,市原,日本テレビ（単）,4131
1,2000/04/01,4,2,14:03,広島ビ,広島,2,0,京都,広島ホームテレビ／ＢＳ（録）／スカイパーフェクＴＶ！（録）,7047
2,2000/04/01,4,3,15:00,万博,Ｇ大阪,0,1,清水,朝日放送（録）／ディレクＴＶ（録）,8400
3,2000/04/01,4,4,15:01,柏の葉,柏,3,2,Ｆ東京,テレビ東京（単）,10321
4,2000/04/01,4,5,15:05,瑞穂球,名古屋,1,2,福岡,中部日本放送／ディレクＴＶ,8997
5,2000/04/01,4,6,16:03,国立,鹿島,2,3,横浜FM,ＢＳ,25317
6,2000/04/01,4,7,19:03,神戸ユ,神戸,0,1,川崎Ｆ,Ｊスカイスポーツ,4543
7,2000/04/01,4,8,19:04,磐田,磐田,3,1,Ｃ大阪,ＢＳ,10463
0,2000/04/05,5,1,19:00,等々力,川崎Ｆ,2,2,Ｇ大阪,スカイパーフェクＴＶ！（録）,4371
1,2000/04/05,5,2,19:00,長居,Ｃ大阪,2,1,市原,ディレクＴＶ（録）,4074
2,2000/04/05,5,3,19:01,博多球,福岡,0,2,Ｖ川崎,ＲＫＢ毎日放送（録）／ＢＳ（録）,7498
3,2000/04/05,5,4,19:03,三ツ沢,横浜FM,1,0,神戸,テレビ神奈川,4629
4,2000/04/05,5,5,19:03,広島ス,広島,1,2,柏,Ｊスカイスポーツ,4175
5,2000/04/05,5,6,19:04,国立,Ｆ東京,3,2,磐田,東京メトロポリタンテレビ／ディレクＴＶ,12602
6,2000/04/05,5,7,19:04,日本平,清水,2,1,鹿島,ＢＳ,8774
7,2000/04/05,5,8,19:04,西京極,京都,0,1,名古屋,ＫＢＳ京都,5825
0,2000/04/08,6,1,14:03,瑞穂陸,名古屋,1,0,清水,名古屋テレビ／ＢＳ,17830
1,2000/04/08,6,2,14:59,万博,Ｇ大阪,1,2,広島,スカイパーフェクＴＶ！（録）,4911
2,2000/04/08,6,3,15:00,市原,市原,1,0,川崎Ｆ,千葉テレビ（録）,4485
3,2000/04/08,6,4,15:01,富山,鹿島,2,1,Ｆ東京,ディレクＴＶ（録）,14754
4,2000/04/08,6,5,15:03,神戸ユ,神戸,1,2,Ｃ大阪,ディレクＴＶ,8005
5,2000/04/08,6,6,16:02,磐田,磐田,2,1,福岡,ＢＳ,10058
6,2000/04/08,6,7,19:03,柏,柏,2,1,京都,Ｊスカイスポーツ,9173
7,2000/04/08,6,8,19:05,国立,Ｖ川崎,1,3,横浜FM,日本テレビ（録）／ＢＳ,12682
0,2000/04/15,7,1,15:00,市原,市原,2,3,磐田,ＢＳ（録）,4827
1,2000/04/15,7,2,15:03,国立,Ｆ東京,1,3,Ｇ大阪,東京メトロポリタンテレビ／Ｊスカイスポーツ,6665
2,2000/04/15,7,3,15:03,長居,Ｃ大阪,2,1,鹿島,ディレクＴＶ,9115
3,2000/04/15,7,4,15:04,横浜国,横浜FM,2,0,名古屋,ＮＨＫ総合,16853
4,2000/04/15,7,5,19:01,神戸ユ,神戸,1,2,Ｖ川崎,スカイパーフェクＴＶ！（録）,2738
5,2000/04/15,7,6,19:02,等々力,川崎Ｆ,2,1,京都,テレビ神奈川／ディレクＴＶ（録）,4103
6,2000/04/15,7,7,19:04,博多球,福岡,2,0,柏,ＢＳ,8284
7,2000/05/24,7,8,19:00,日本平,清水,1,0,広島,テレビ静岡（録）／ＢＳ（録）／スカイパーフェクＴＶ！（録）,7356
0,2000/04/22,8,1,13:30,等々力,Ｖ川崎,2,0,川崎Ｆ,日本テレビ（録）,9703
1,2000/04/22,8,2,14:04,瑞穂陸,名古屋,3,1,Ｃ大阪,ＢＳ,10378
2,2000/04/22,8,3,15:00,柏の葉,柏,3,2,横浜FM,ＴＢＳ（単）,10669
3,2000/04/22,8,4,15:03,福井,鹿島,0,1,市原,Ｊスカイスポーツ,9275
4,2000/04/22,8,5,15:04,西京極,京都,1,2,清水,ＫＢＳ京都（録）／ディレクＴＶ,6179
5,2000/04/22,8,6,16:04,広島ビ,広島,0,1,Ｆ東京,ＢＳ,6621
6,2000/04/22,8,7,19:05,万博,Ｇ大阪,4,0,福岡,ＢＳ,4182
7,2000/05/24,8,8,19:04,磐田,磐田,1,0,神戸,静岡放送（録）／ＢＳ,7531
0,2000/04/29,9,1,13:03,仙台,市原,0,1,名古屋,Ｊスカイスポーツ,10979
1,2000/04/29,9,2,13:04,鴨池,Ｆ東京,3,0,京都,東京メトロポリタンテレビ／ディレクＴＶ（録）,4049
2,2000/04/29,9,3,14:01,新潟,Ｖ川崎,2,3,磐田,日本テレビ（録）／ディレクＴＶ,7767
3,2000/04/29,9,4,14:03,横浜国,横浜FM,4,1,Ｇ大阪,テレビ朝日（単）,18531
4,2000/04/29,9,5,14:04,神戸ユ,神戸,0,3,鹿島,ＢＳ,10230
5,2000/04/29,9,6,15:02,博多球,福岡,1,0,広島,スカイパーフェクＴＶ！（録）,10056
6,2000/04/29,9,7,16:04,長居,Ｃ大阪,4,1,柏,ＢＳ,18118
7,2000/04/29,9,8,19:04,等々力,川崎Ｆ,0,2,清水,ＢＳ,10391
0,2000/05/03,10,1,14:03,カシマ,鹿島,0,3,Ｖ川崎,テレビ朝日（全）,15633
1,2000/05/03,10,2,14:03,等々力,川崎Ｆ,1,5,磐田,静岡放送／Ｊスカイスポーツ,16843
2,2000/05/03,10,3,14:03,瑞穂陸,名古屋,1,2,神戸,名古屋テレビ／ＢＳ,15723
3,2000/05/03,10,4,15:03,万博,Ｇ大阪,2,1,Ｃ大阪,毎日放送（録）／ディレクＴＶ,13380
