,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2002,ゼロックススーパーカップ,,02/23(土),14:48,鹿島,1-1(PK4-5),清水,国立,34576,日本テレビ,6963
1,2002,Ｊ１ １ｓｔ,第１節第１日,03/02(土),15:00,Ｆ東京,4-2,鹿島,東京,30651,ＴＢＳ（単）／東京メトロポリタンテレビ（録）,6357
2,2002,Ｊ１ １ｓｔ,第１節第１日,03/02(土),19:35,磐田,2-0,名古屋,静岡,29763,ＮＨＫ総合,6358
3,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),13:05,仙台,1-0,東京Ｖ,仙台,17637,ＮＨＫ仙台／ＢＳ,6359
4,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),15:00,市原,2-1,京都,市原,6270,ＫＢＳ京都／スカイパーフェクＴＶ！／千葉テレビ（録）,6360
5,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),15:01,横浜FM,1-0,浦和,横浜国,36060,ＴＢＳ（単）,6361
6,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),15:03,清水,1-0,神戸,日本平,15070,静岡放送／ＢＳ－ｉ,6362
7,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),15:04,広島,5-1,札幌,広島ビ,11299,ＮＨＫ広島／Ｊスカイスポーツ,6363
8,2002,Ｊ１ １ｓｔ,第１節第２日,03/03(日),16:04,Ｇ大阪,1-0,柏,万博,10126,ＢＳ,6364
9,2002,Ｊ２,第１節第１日,03/03(日),13:00,横浜FC,3-2,甲府,三ツ沢,3652,Ｊスカイスポーツ（録）,6598
10,2002,Ｊ２,第１節第１日,03/03(日),13:01,川崎Ｆ,1-1,湘南,等々力,5159,スカイパーフェクＴＶ！（録）,6597
11,2002,Ｊ２,第１節第１日,03/03(日),14:00,水戸,0-1,新潟,ひたちな,3018,スカイパーフェクＴＶ！（録）,6599
12,2002,Ｊ２,第１節第１日,03/03(日),14:03,大宮,1-1,鳥栖,大宮,4567,スカイパーフェクＴＶ！（録）,6600
13,2002,Ｊ２,第１節第１日,03/03(日),14:03,Ｃ大阪,6-0,山形,長居２,6755,スカイパーフェクＴＶ！,6601
14,2002,Ｊ２,第１節第１日,03/03(日),15:36,福岡,1-2,大分,博多球,10583,ＮＨＫ福岡／Ｊスカイスポーツ,6602
15,2002,サテライトリーグ Ｂグループ,第１日,03/03(日),13:30,磐田,0-1,名古屋,磐田,1207,,
16,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),13:00,札幌,0-1,仙台,高知陸,7236,札幌テレビ／スカイパーフェクＴＶ！／高知放送（録）,6365
17,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),14:03,鹿島,0-1,清水,カシマ,23675,ＮＨＫ総合,6366
18,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),14:03,名古屋,0-1,横浜FM,豊田ス,18144,Ｊスカイスポーツ／名古屋テレビ（録）,6367
19,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),16:04,神戸,0-1,市原,神戸ユ,10071,ＢＳ,6368
20,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),19:03,柏,2-1,広島,柏,9042,ＢＳ－ｉ,6370
21,2002,Ｊ１ １ｓｔ,第２節第１日,03/09(土),19:05,浦和,0-1,Ｆ東京,埼玉,33018,ＢＳ／テレビ埼玉（録）,6369
22,2002,Ｊ２,第２節第１日,03/09(土),14:00,川崎Ｆ,2-0,大宮,等々力,3433,スカイパーフェクＴＶ！（録）,6603
23,2002,Ｊ２,第２節第１日,03/09(土),14:04,大分,2-0,山形,大分ス,8511,スカイパーフェクＴＶ！,6605
24,2002,Ｊ２,第２節第１日,03/09(土),14:05,甲府,0-2,福岡,小瀬,5381,Ｊスカイスポーツ（録）,6604
25,2002,Ｊ２,第２節第１日,03/09(土),15:00,湘南,2-1,水戸,平塚,4007,スカイパーフェクＴＶ！（録）,6607
26,2002,Ｊ２,第２節第１日,03/09(土),15:04,横浜FC,0-2,新潟,三ツ沢,2840,Ｊスカイスポーツ,6606
27,2002,Ｊ１ １ｓｔ,第２節第２日,03/10(日),15:04,東京Ｖ,2-3,磐田,東京,23152,ＢＳ－ｉ／日本テレビ（録）,6371
