,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2021,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/20(土),13:35,川崎Ｆ,3-2,Ｇ大阪,埼玉,4208.0,日本テレビ系全国ネットにて生中継,26074
1,2021,Ｊ１,第１節第１日,02/26(金),18:04,川崎Ｆ,2-0,横浜FM,等々力,4868.0,ＤＡＺＮ,24974
2,2021,Ｊ１,第１節第２日,02/27(土),14:00,浦和,1-1,FC東京,埼玉,4943.0,ＤＡＺＮ／ＮＨＫ総合,24976
3,2021,Ｊ１,第１節第２日,02/27(土),14:00,札幌,5-1,横浜FC,札幌ド,11897.0,ＤＡＺＮ／ＮＨＫ札幌,24975
4,2021,Ｊ１,第１節第２日,02/27(土),14:03,大分,1-1,徳島,昭和電ド,7012.0,ＤＡＺＮ／ＮＨＫ大分／ＮＨＫ徳島／ＮＨＫ松山／ＮＨＫ高知／ＮＨＫ高松,24978
5,2021,Ｊ１,第１節第２日,02/27(土),14:03,広島,1-1,仙台,Ｅスタ,8820.0,ＤＡＺＮ／ＮＨＫ広島／ＮＨＫ仙台,24977
6,2021,Ｊ１,第１節第２日,02/27(土),15:03,鹿島,1-3,清水,カシマ,9312.0,ＤＡＺＮ,24979
7,2021,Ｊ１,第１節第２日,02/27(土),15:03,湘南,0-1,鳥栖,レモンＳ,4721.0,ＤＡＺＮ,24980
8,2021,Ｊ１,第１節第２日,02/27(土),16:03,Ｃ大阪,2-0,柏,ヤンマー,4481.0,ＤＡＺＮ,24981
9,2021,Ｊ１,第１節第２日,02/27(土),17:03,神戸,1-0,Ｇ大阪,ノエスタ,4636.0,ＤＡＺＮ,24982
10,2021,Ｊ２,第１節第１日,02/27(土),14:03,長崎,2-1,金沢,トラスタ,6436.0,ＤＡＺＮ／長崎国際テレビ,25355
11,2021,Ｊ２,第１節第１日,02/27(土),14:05,北九州,1-4,新潟,ミクスタ,3447.0,ＤＡＺＮ,25354
12,2021,Ｊ１,第１節第３日,02/28(日),13:05,福岡,1-2,名古屋,ベススタ,4991.0,ＤＡＺＮ／ＮＨＫ福岡／ＮＨＫ名古屋,24983
13,2021,Ｊ２,第１節第２日,02/28(日),13:03,相模原,0-2,京都,ギオンス,2470.0,ＤＡＺＮ,25356
14,2021,Ｊ２,第１節第２日,02/28(日),14:03,水戸,1-2,大宮,Ｋｓスタ,3312.0,ＤＡＺＮ,25357
15,2021,Ｊ２,第１節第２日,02/28(日),14:03,千葉,1-1,甲府,フクアリ,3798.0,ＤＡＺＮ,25360
16,2021,Ｊ２,第１節第２日,02/28(日),14:03,群馬,2-1,秋田,正田スタ,3415.0,ＤＡＺＮ／群馬テレビ,25359
17,2021,Ｊ２,第１節第２日,02/28(日),14:03,町田,1-1,山形,Ｇスタ,2618.0,ＤＡＺＮ,25361
18,2021,Ｊ２,第１節第２日,02/28(日),14:04,栃木,0-2,岡山,カンセキ,4616.0,ＤＡＺＮ,25358
19,2021,Ｊ２,第１節第２日,02/28(日),15:03,東京Ｖ,3-0,愛媛,味スタ,3411.0,ＤＡＺＮ,25362
20,2021,Ｊ２,第１節第２日,02/28(日),15:03,琉球,1-0,磐田,タピスタ,3871.0,ＤＡＺＮ／ＮＨＫ沖縄,25363
21,2021,Ｊ２,第１節第２日,02/28(日),15:30,山口,0-0,松本,みらスタ,4862.0,ＤＡＺＮ／山口朝日放送,25364
22,2021,ＹＬＣ グループステージＢグループ,第１節第１日,03/02(火),19:03,大分,1-3,神戸,昭和電ド,3320.0,スカパー！／スカパー！オンデマンド,26039
23,2021,ＹＬＣ グループステージＣグループ,第１節第１日,03/02(火),18:03,湘南,0-0,浦和,レモンＳ,3022.0,フジテレビＯＮＥ／ＦＯＤ／スカパー！オンデマンド,26051
24,2021,Ｊ１,第１１節第１日,03/03(水),18:03,川崎Ｆ,3-2,Ｃ大阪,等々力,4756.0,ＤＡＺＮ,25074
25,2021,ＹＬＣ グループステージＡグループ,第１節第１日,03/03(水),18:03,福岡,2-3,札幌,ベススタ,1564.0,スカパー！／スカパー！オンデマンド,26026
26,2021,ＹＬＣ グループステージＡグループ,第１節第１日,03/03(水),19:03,鹿島,3-0,鳥栖,カシマ,3784.0,フジテレビＯＮＥ／ＦＯＤ／スカパー！オンデマンド,26027
27,2021,ＹＬＣ グループステージＢグループ,第１節第２日,03/03(水),18:03,FC東京,1-0,徳島,味スタ,3788.0,フジテレビＮＥＸＴ／ＦＯＤ／スカパー！オンデマンド,26038
28,2021,ＹＬＣ グループステージＣグループ,第１節第２日,03/03(水),18:03,柏,0-1,横浜FC,三協Ｆ柏,2260.0,スカパー！／スカパー！オンデマンド,26050
29,2021,ＹＬＣ グループステージＤグループ,第１節第１日,03/03(水),18:03,横浜FM,1-0,仙台,ニッパツ,3851.0,スカパー！／スカパー！オンデマンド,26062
30,2021,ＹＬＣ グループステージＤグループ,第１節第１日,03/03(水),19:03,広島,0-0,清水,Ｅスタ,1904.0,スカパー！／スカパー！オンデマンド,26063
31,2021,Ｊ１,第２節第１日,03/06(土),14:03,清水,2-2,福岡,アイスタ,9063.0,ＤＡＺＮ／テレビ静岡,24986
32,2021,Ｊ１,第２節第１日,03/06(土),14:03,FC東京,3-2,Ｃ大阪,味スタ,4768.0,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ,24985
33,2021,Ｊ１,第２節第１日,03/06(土),14:03,徳島,1-1,神戸,鳴門大塚,7454.0,ＤＡＺＮ／ＮＨＫ徳島,24987
34,2021,Ｊ１,第２節第１日,03/06(土),14:04,仙台,1-5,川崎Ｆ,ユアスタ,9005.0,ＤＡＺＮ／仙台放送／ＮＨＫ　ＢＳ１,24984
35,2021,Ｊ１,第２節第１日,03/06(土),15:03,横浜FC,1-2,大分,ニッパツ,4422.0,ＤＡＺＮ,24988
36,2021,Ｊ１,第２節第１日,03/06(土),15:03,鳥栖,2-0,浦和,駅スタ,7452.0,ＤＡＺＮ,24990
37,2021,Ｊ１,第２節第１日,03/06(土),16:03,柏,2-1,湘南,三協Ｆ柏,3898.0,ＤＡＺＮ,24991
38,2021,Ｊ１,第２節第１日,03/06(土),16:03,名古屋,1-0,札幌,豊田ス,9846.0,ＤＡＺＮ,24992
39,2021,Ｊ２,第２節第１日,03/06(土),13:33,新潟,1-0,長崎,デンカＳ,9442.0,ＤＡＺＮ／テレビ新潟,25365
40,2021,Ｊ２,第２節第１日,03/06(土),14:03,大宮,0-2,甲府,ＮＡＣＫ,4000.0,ＤＡＺＮ／テレ玉,25366
41,2021,Ｊ２,第２節第１日,03/06(土),14:03,北九州,1-2,水戸,ミクスタ,2504.0,ＤＡＺＮ,25368
42,2021,Ｊ２,第２節第１日,03/06(土),14:03,磐田,1-3,町田,ヤマハ,6791.0,ＤＡＺＮ,25367
43,2021,Ｊ２,第２節第１日,03/06(土),16:03,琉球,2-1,山口,タピスタ,1086.0,ＤＡＺＮ,25369
44,2021,Ｊ１,第２節第２日,03/07(日),13:03,横浜FM,3-3,広島,日産ス,4906.0,ＤＡＺＮ,24993
45,2021,Ｊ２,第２節第２日,03/07(日),13:03,相模原,0-0,群馬,ギオンス,1268.0,ＤＡＺＮ,25370
46,2021,Ｊ２,第２節第２日,03/07(日),14:03,岡山,0-1,金沢,Ｃスタ,5788.0,ＤＡＺＮ／テレビせとうち,25373
47,2021,Ｊ２,第２節第２日,03/07(日),14:03,京都,0-0,松本,サンガＳ,6556.0,ＤＡＺＮ／ＫＢＳ京都（録）,25372
48,2021,Ｊ２,第２節第２日,03/07(日),14:03,栃木,0-1,秋田,カンセキ,3706.0,ＤＡＺＮ／とちぎテレビ,25371
49,2021,Ｊ２,第２節第２日,03/07(日),14:03,愛媛,1-1,千葉,ニンスタ,2393.0,ＤＡＺＮ／南海放送（録）,25374
50,2021,Ｊ２,第２節第２日,03/07(日),15:03,東京Ｖ,0-2,山形,味スタ,2709.0,ＤＡＺＮ,25375
51,2021,Ｊエリートリーグ グループＢ,第１節第１日,03/08(月),13:00,愛媛,1-2,岡山,北条陸,0.0,,26078
52,2021,Ｊ１,第３節第１日,03/10(水),18:01,柏,0-1,名古屋,三協Ｆ柏,2877.0,ＤＡＺＮ／ＮＨＫ　ＢＳ１,24996
53,2021,Ｊ１,第３節第１日,03/10(水),18:03,浦和,2-0,横浜FC,埼玉,4524.0,ＤＡＺＮ,25003
54,2021,Ｊ１,第３節第１日,03/10(水),18:03,FC東京,2-3,神戸,味スタ,4707.0,ＤＡＺＮ,24997
55,2021,Ｊ１,第３節第１日,03/10(水),18:03,福岡,1-3,横浜FM,ベススタ,4607.0,ＤＡＺＮ／ＲＫＢ毎日放送,24994
56,2021,Ｊ１,第３節第１日,03/10(水),19:03,広島,2-1,札幌,Ｅスタ,3821.0,ＤＡＺＮ,25001
57,2021,Ｊ１,第３節第１日,03/10(水),19:03,鹿島,3-1,湘南,カシマ,4546.0,ＤＡＺＮ,24995
58,2021,Ｊ１,第３節第１日,03/10(水),19:03,Ｃ大阪,2-1,清水,ヤンマー,6063.0,ＤＡＺＮ,25000
59,2021,Ｊ１,第３節第１日,03/10(水),19:03,川崎Ｆ,2-0,徳島,等々力,4853.0,ＤＡＺＮ,24998
60,2021,Ｊ１,第３節第１日,03/10(水),19:04,鳥栖,5-0,仙台,駅スタ,4604.0,ＤＡＺＮ,25002
