,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
510,2000,ＹＮＣ,準決勝第２戦,10/18(水),19:04,鹿島,3-2,名古屋,仙台,8088,ＷＯＷＯＷ,5057
511,2000,ＹＮＣ,準決勝第２戦,10/18(水),19:04,川崎Ｆ,1-2,京都,国立,11232,テレビ神奈川,5056
512,2000,Ｊ２,第３９節第１日,10/21(土),19:02,湘南,0-3,札幌,平塚,7428,テレビ北海道／スカイパーフェクＴＶ！（１２１ｃｈ）,5537
513,2000,Ｊ２,第３９節第２日,10/22(日),13:00,水戸,1-1,新潟,ひたちな,1289,Ｊスカイスポーツ（録）,5541
514,2000,Ｊ２,第３９節第２日,10/22(日),14:00,山形,1-2,仙台,山形県,4802,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5540
515,2000,Ｊ２,第３９節第２日,10/22(日),14:00,大宮,1-0,甲府,大宮,2129,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5539
516,2000,Ｊ２,第３９節第２日,10/22(日),14:02,大分,0-2,浦和,大分,14639,大分放送（録）／ＢＳ／Ｊスカイスポーツ,5538
517,2000,Ｊ２,第４０節第１日,10/28(土),14:04,新潟,3-2,湘南,新潟,3547,新潟総合テレビ／スカイパーフェクＴＶ！（１２１ｃｈ）,5542
518,2000,Ｊ２,第４０節第２日,10/29(日),12:03,札幌,2-0,大宮,札幌,19863,札幌テレビ／スカイパーフェクＴＶ！（１２１ｃｈ）,5544
519,2000,Ｊ２,第４０節第２日,10/29(日),12:59,甲府,0-1,鳥栖,小瀬,749,Ｊスカイスポーツ（録）,5546
520,2000,Ｊ２,第４０節第２日,10/29(日),13:00,仙台,2-0,水戸,仙台,6223,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5545
521,2000,Ｊ２,第４０節第２日,10/29(日),16:04,浦和,1-2,山形,駒場,14596,テレビ埼玉（録）／Ｊスカイスポーツ,5543
522,2000,サテライトリーグ Ｂグループ,第１７日,10/29(日),14:07,清水,2-1,名古屋,蛇塚Ｇ,150,,
523,2000,ＹＮＣ,決勝,11/04(土),14:32,川崎Ｆ,0-2,鹿島,国立,26992,ＴＢＳ系列（録）／ＷＯＷＯＷ,5058
524,2000,Ｊ２,第４１節第１日,11/05(日),13:01,山形,2-2,大分,鶴岡,2142,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5549
525,2000,Ｊ２,第４１節第１日,11/05(日),13:04,水戸,0-1,浦和,日立市,5373,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5551
526,2000,Ｊ２,第４１節第１日,11/05(日),14:00,大宮,2-1,新潟,大宮,3323,Ｊスカイスポーツ（録）,5548
527,2000,Ｊ２,第４１節第１日,11/05(日),14:00,湘南,3-4,仙台,平塚,4287,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5547
528,2000,Ｊ２,第４１節第１日,11/05(日),16:01,鳥栖,2-0,札幌,鳥栖,6107,サガテレビ（録）／Ｊスカイスポーツ（録）,5550
529,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:00,鹿島,2-1,清水,国立,13639,ＢＳ（録）,5309
530,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:01,Ｖ川崎,0-0,福岡,等々力,3671,日本テレビ（録）,5308
531,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:01,神戸,2-4,横浜FM,神戸ユ,12285,読売テレビ（録）／スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5310
532,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:03,磐田,2-0,Ｆ東京,磐田,9516,Ｊスカイスポーツ,5305
533,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:03,名古屋,0-1,京都,瑞穂陸,14482,中京テレビ（録）／スカイパーフェクＴＶ！（１２１ｃｈ）,5307
534,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:04,市原,0-1,Ｃ大阪,市原,4355,千葉テレビ,5312
535,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:04,柏,2-1,広島,柏,6575,テレビ朝日（録）,5306
536,2000,Ｊ１ ２ｎｄ,第１１節第１日,11/08(水),19:04,Ｇ大阪,4-0,川崎Ｆ,万博,7238,ＢＳ,5311
537,2000,Ｊ２,第４２節第１日,11/10(金),19:03,大分,3-0,水戸,大分,3271,スカイパーフェクＴＶ！（１２１ｃｈ）,5552
538,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),13:04,Ｆ東京,2-3,Ｖ川崎,駒沢,11298,東京メトロポリタンテレビ,5320
539,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),14:00,Ｇ大阪,1-3,柏,万博,13171,ＮＨＫ総合,5316
540,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),14:03,横浜FM,1-0,市原,横浜国,20622,テレビ神奈川（録）,5314
541,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),14:04,清水,1-0,磐田,日本平,18977,テレビ静岡／スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5313
542,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),14:04,広島,4-0,名古屋,広島ビ,7978,広島ホームテレビ,5315
543,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),14:05,京都,1-3,鹿島,西京極,10750,ＫＢＳ京都（録）／スカイパーフェクＴＶ！（１２１ｃｈ）,5317
544,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),16:03,川崎Ｆ,4-3,Ｃ大阪,等々力,5024,Ｊスカイスポーツ,5319
545,2000,Ｊ１ ２ｎｄ,第１２節第１日,11/11(土),16:04,福岡,3-1,神戸,博多球,12641,ＢＳ,5318
546,2000,Ｊ２,第４２節第２日,11/11(土),14:00,新潟,1-0,鳥栖,新潟,1786,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5553
547,2000,Ｊ２,第４２節第３日,11/12(日),13:01,仙台,0-2,大宮,仙台,7014,Ｊスカイスポーツ（録）,5556
548,2000,Ｊ２,第４２節第３日,11/12(日),13:03,札幌,1-1,甲府,札幌,12515,テレビ北海道／スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5555
549,2000,Ｊ２,第４２節第３日,11/12(日),16:04,浦和,1-0,湘南,駒場,18071,テレビ埼玉／Ｊスカイスポーツ,5554
550,2000,Ｊ２,第４３節第１日,11/16(木),18:30,甲府,0-0,新潟,小瀬,1446,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5560
551,2000,Ｊ２,第４３節第１日,11/16(木),19:00,鳥栖,2-3,仙台,鳥栖,3284,Ｊスカイスポーツ（録）,5559
552,2000,Ｊ２,第４３節第１日,11/16(木),19:01,水戸,0-1,山形,ひたちな,1018,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5561
553,2000,Ｊ２,第４３節第１日,11/16(木),19:04,湘南,0-2,大分,平塚,3498,Ｊスカイスポーツ,5557
554,2000,Ｊ２,第４３節第１日,11/16(木),19:06,大宮,0-1,浦和,大宮,9499,テレビ埼玉／ＢＳ／スカイパーフェクＴＶ！（１２１ｃｈ）,5558
555,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),14:03,鹿島,2-1,広島,鳥取,7024,フジテレビ（全）,5326
556,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),14:03,Ｖ川崎,2-0,清水,水前寺,4114,日本テレビ（録）／スカイパーフェクＴＶ！（１２１ｃｈ）,5325
557,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),14:04,名古屋,1-2,Ｇ大阪,瑞穂陸,16278,東海テレビ／ＢＳ,5323
558,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),14:04,Ｃ大阪,1-2,横浜FM,長居,20794,関西テレビ,5324
559,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),16:00,神戸,1-0,Ｆ東京,神戸ユ,8091,スカイパーフェクＴＶ！（１２１ｃｈ）　（録）,5327
560,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),16:03,磐田,3-2,京都,磐田,11471,静岡放送／Ｊスカイスポーツ,5321
561,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),16:04,市原,4-3,福岡,市原,4831,千葉テレビ（録）／ＢＳ,5328
562,2000,Ｊ１ ２ｎｄ,第１３節第１日,11/18(土),19:04,柏,1-0,川崎Ｆ,柏,10382,ＢＳ,5322
563,2000,Ｊ２,第４４節第１日,11/19(日),13:00,仙台,0-1,甲府,仙台,9603,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5566
564,2000,Ｊ２,第４４節第１日,11/19(日),13:02,山形,1-0,湘南,山形県,3041,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5565
565,2000,Ｊ２,第４４節第１日,11/19(日),13:04,浦和,2-1,鳥栖,駒場,20207,テレビ埼玉／ＢＳ／Ｊスカイスポーツ,5562
566,2000,Ｊ２,第４４節第１日,11/19(日),13:04,新潟,1-2,札幌,新潟,4368,ＮＨＫ新潟／Ｊスカイスポーツ（録）,5564
567,2000,Ｊ２,第４４節第１日,11/19(日),13:04,大分,1-0,大宮,大分,7631,スカイパーフェクＴＶ！（１２１ｃｈ）（録）／ＮＨＫ大分,5563
568,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:00,川崎Ｆ,1-0,横浜FM,等々力,10245,テレビ神奈川（録）,5335
569,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:00,清水,1-0,神戸,日本平,10718,静岡朝日テレビ,5329
570,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:00,京都,3-2,Ｖ川崎,西京極,8458,ＫＢＳ京都,5333
571,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:01,柏,2-1,名古屋,柏,13235,ＢＳ（録）,5330
572,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:01,Ｇ大阪,1-2,鹿島,万博,21543,ＮＨＫ総合／関西テレビ（録）,5332
573,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:01,福岡,0-1,Ｃ大阪,博多球,20908,スカイパーフェクＴＶ！（１２１ｃｈ）（録）,5334
574,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:04,Ｆ東京,1-0,市原,国立,15064,東京メトロポリタンテレビ／Ｊスカイスポーツ,5336
575,2000,Ｊ１ ２ｎｄ,第１４節第１日,11/23(木・祝),15:05,広島,0-3,磐田,広島ビ,20876,スカイパーフェクＴＶ！（１２１ｃｈ）,5331
576,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:00,市原,1-2,清水,市原,7629,千葉テレビ（録）,5344
577,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:00,磐田,4-0,Ｇ大阪,磐田,17195,ＢＳ（録）,5337
578,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:01,Ｖ川崎,1-2,広島,等々力,6948,日本テレビ（録）,5341
579,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:01,名古屋,1-0,川崎Ｆ,瑞穂陸,14312,スカイパーフェクＴＶ！（１２２ｃｈ）（録）,5338
580,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:01,神戸,2-1,京都,神戸ユ,15809,サンテレビ,5343
581,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:03,Ｃ大阪,1-3,Ｆ東京,長居２,8140,Ｊスカイスポーツ,5340
582,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:04,鹿島,0-0,柏,国立,50399,ＮＨＫ総合（録）／ＢＳ,5342
583,2000,Ｊ１ ２ｎｄ,第１５節第１日,11/26(日),15:04,横浜FM,2-1,福岡,横浜国,18285,テレビ神奈川（録）／スカイパーフェクＴＶ！（１２２ｃｈ）,5339
584,2000,チャンピオンシップ,第１戦,12/02(土),15:02,横浜FM,0-0,鹿島,横浜国,41595,ＮＨＫ総合,5345
585,2000,チャンピオンシップ,第２戦,12/09(土),19:34,鹿島,3-0,横浜FM,国立,44665,ＮＨＫ総合,5346
