,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,1996,ゼロックススーパーカップ,第１節第１日,03/09(土),14:03,横浜M,0-2,名古屋,国立,39570,,2865
1,1996,Ｊ１,第１節第１日,03/16(土),14:03,Ｖ川崎,1-0,京都,等々力,12835,,1999
2,1996,Ｊ１,第１節第１日,03/16(土),15:03,浦和,2-1,柏,駒場,20124,,2001
3,1996,Ｊ１,第１節第１日,03/16(土),15:03,名古屋,4-1,平塚,瑞穂陸,22021,,2002
4,1996,Ｊ１,第１節第１日,03/16(土),15:03,Ｃ大阪,0-2,横浜Ｆ,長居２,8087,,2003
5,1996,Ｊ１,第１節第１日,03/16(土),15:04,鹿島,4-1,清水,カシマ,15922,,2000
6,1996,Ｊ１,第１節第１日,03/16(土),16:04,磐田,3-0,福岡,磐田,13439,,2004
7,1996,Ｊ１,第１節第１日,03/16(土),17:04,市原,0-1,広島,市原,10722,,2005
8,1996,Ｊ１,第１節第１日,03/16(土),19:05,横浜M,1-2,Ｇ大阪,三ツ沢,11728,,2006
9,1996,Ｊ１,第２節第１日,03/20(水・祝),14:00,福岡,1-2,浦和,博多球,17323,,2007
10,1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,平塚,0-4,Ｖ川崎,平塚,12716,,2010
11,1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,清水,2-1,Ｃ大阪,日本平,16413,,2011
12,1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,Ｇ大阪,0-1,横浜Ｆ,万博,9739,,2013
13,1996,Ｊ１,第２節第１日,03/20(水・祝),15:03,横浜M,0-1,磐田,三ツ沢,12840,,2009
14,1996,Ｊ１,第２節第１日,03/20(水・祝),15:04,柏,2-3,名古屋,国立,25948,,2008
15,1996,Ｊ１,第２節第１日,03/20(水・祝),15:04,京都,0-2,市原,西京極,8318,,2012
16,1996,Ｊ１,第２節第１日,03/20(水・祝),16:05,広島,1-2,鹿島,広島ビ,18863,,2014
17,1996,Ｊ１,第３節第１日,03/23(土),14:04,磐田,2-0,Ｇ大阪,磐田,11927,,2015
18,1996,Ｊ１,第３節第１日,03/23(土),15:00,鹿島,5-1,京都,カシマ,15224,,2016
19,1996,Ｊ１,第３節第１日,03/23(土),15:01,市原,0-2,平塚,市原,10293,,2017
20,1996,Ｊ１,第３節第１日,03/23(土),15:01,Ｃ大阪,1-2,広島,長居２,6276,,2020
21,1996,Ｊ１,第３節第１日,03/23(土),15:03,Ｖ川崎,2-3,柏,等々力,11599,,2018
22,1996,Ｊ１,第３節第１日,03/23(土),15:03,横浜Ｆ,1-0,清水,三ツ沢,10296,,2019
23,1996,Ｊ１,第３節第１日,03/23(土),19:02,名古屋,3-1,福岡,瑞穂陸,20793,,2022
24,1996,Ｊ１,第３節第１日,03/23(土),19:03,浦和,2-0,横浜M,国立,49094,,2021
25,1996,Ｊ１,第４節第１日,03/30(土),14:02,磐田,1-1(PK3-4),浦和,磐田,12730,,2023
26,1996,Ｊ１,第４節第１日,03/30(土),15:00,平塚,1-0,鹿島,国立,23748,,2026
27,1996,Ｊ１,第４節第１日,03/30(土),15:00,Ｇ大阪,2-2(PK4-3),清水,万博,5674,,2028
