,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2013/03/02,1,1,14:04,日産ス,横浜FM,4,2,湘南,スカパー！／スカパー！プレミアムサービス,24298
1,2013/03/02,1,2,14:04,豊田ス,名古屋,1,1,磐田,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ静岡,21748
2,2013/03/02,1,3,14:04,ベアスタ,鳥栖,1,1,鹿島,スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ水戸,12728
3,2013/03/02,1,4,14:05,長居,Ｃ大阪,1,0,新潟,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大阪／ＮＨＫ新潟,15051
4,2013/03/02,1,5,14:06,ユアスタ,仙台,1,1,甲府,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ甲府,16353
5,2013/03/02,1,6,14:06,Ｅスタ,広島,1,2,浦和,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,27911
6,2013/03/02,1,7,16:03,ＮＡＣＫ,大宮,2,2,清水,スカパー！／スカパー！プレミアムサービス／テレ玉,11330
7,2013/03/02,1,8,19:04,大銀ド,大分,1,2,Ｆ東京,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,17055
8,2013/03/03,1,9,13:04,柏,柏,3,1,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,13785
0,2013/03/09,2,1,13:04,東北電ス,新潟,1,2,広島,スカパー！／スカパー！プレミアムサービス／新潟総合テレビ,28118
1,2013/03/09,2,2,14:03,アイスタ,清水,0,5,横浜FM,スカパー！／スカパー！プレミアムサービス／ＮＨＫ静岡,16487
2,2013/03/09,2,3,14:04,味スタ,Ｆ東京,3,0,柏,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,26256
3,2013/03/09,2,4,14:05,カシマ,鹿島,3,2,仙台,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,19981
4,2013/03/09,2,5,14:05,中銀スタ,甲府,1,2,Ｃ大阪,スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府,12116
5,2013/03/09,2,6,15:03,ヤマハ,磐田,0,1,大宮,スカパー！／スカパー！プレミアムサービス／静岡放送,10773
6,2013/03/09,2,7,15:04,国立,川崎Ｆ,1,1,大分,スカパー！／スカパー！プレミアムサービス,21657
7,2013/03/09,2,8,16:05,埼玉,浦和,1,0,名古屋,スカパー！／スカパー！プレミアムサービス／テレ玉（録）,52293
8,2013/03/09,2,9,19:04,ＢＭＷス,湘南,1,1,鳥栖,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,11439
0,2013/03/16,3,1,14:03,日産ス,横浜FM,2,1,磐田,スカパー！／スカパー！プレミアムサービス,19195
1,2013/03/16,3,2,14:04,ユアスタ,仙台,2,1,柏,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,13232
2,2013/03/16,3,3,14:04,ベアスタ,鳥栖,5,4,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,8716
3,2013/03/16,3,4,14:05,大銀ド,大分,2,2,浦和,スカパー！／スカパー！プレミアムサービス／テレビ大分,16510
4,2013/03/16,3,5,15:03,ＮＡＣＫ,大宮,1,1,新潟,スカパー！／スカパー！プレミアムサービス／テレ玉,10485
5,2013/03/16,3,6,15:04,長居,Ｃ大阪,1,0,Ｆ東京,スカパー！／スカパー！プレミアムサービス,13702
6,2013/03/16,3,7,16:04,ＢＭＷス,湘南,1,1,清水,スカパー！／スカパー！プレミアムサービス,9453
7,2013/03/16,3,8,19:04,中銀スタ,甲府,0,1,名古屋,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,11230
8,2013/03/17,3,9,13:06,Ｅスタ,広島,0,0,鹿島,スカパー！／スカパー！プレミアムサービス,16029
0,2013/03/30,4,1,13:04,アイスタ,清水,0,4,広島,スカパー！／スカパー！プレミアムサービス／テレビ静岡,13137
1,2013/03/30,4,2,13:04,長居,Ｃ大阪,1,1,仙台,スカパー！／スカパー！プレミアムサービス,13721
2,2013/03/30,4,3,14:04,ヤマハ,磐田,3,3,鳥栖,スカパー！／スカパー！プレミアムサービス,8741
3,2013/03/30,4,4,15:03,ＮＡＣＫ,大宮,3,1,鹿島,スカパー！／スカパー！プレミアムサービス,11492
4,2013/03/30,4,5,15:03,等々力,川崎Ｆ,1,1,甲府,スカパー！／スカパー！プレミアムサービス,14108
5,2013/03/30,4,6,15:03,瑞穂陸,名古屋,2,0,湘南,スカパー！／スカパー！プレミアムサービス／名古屋テレビ（録）,10706
6,2013/03/30,4,7,15:04,柏,柏,3,1,大分,スカパー！／スカパー！プレミアムサービス,9144
7,2013/03/30,4,8,16:03,東北電ス,新潟,0,2,浦和,スカパー！／スカパー！プレミアムサービス,29095
8,2013/03/30,4,9,19:04,日産ス,横浜FM,3,2,Ｆ東京,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,23698
0,2013/04/06,5,1,14:03,味スタ,Ｆ東京,0,1,大宮,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,13859
1,2013/04/06,5,2,14:04,ユアスタ,仙台,0,1,新潟,スカパー！／スカパー！プレミアムサービス,12883
2,2013/04/06,5,3,14:04,Ｅスタ,広島,1,3,横浜FM,スカパー！／スカパー！プレミアムサービス,10554
3,2013/04/06,5,4,14:04,ベアスタ,鳥栖,0,1,清水,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,6707
4,2013/04/06,5,5,14:04,大銀ド,大分,0,1,甲府,スカパー！／スカパー！プレミアムサービス,7913
5,2013/04/06,5,6,15:04,カシマ,鹿島,1,0,Ｃ大阪,スカパー！／スカパー！プレミアムサービス,10837
6,2013/04/06,5,7,17:03,柏,柏,3,3,名古屋,スカパー！／スカパー！プレミアムサービス,8180
7,2013/04/06,5,8,17:04,ＢＭＷス,湘南,1,1,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,7347
8,2013/04/06,5,9,19:04,埼玉,浦和,2,1,磐田,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／テレ玉,23295
0,2013/04/13,6,1,13:04,中銀スタ,甲府,3,1,柏,スカパー！／スカパー！プレミアムサービス／山梨放送,10569
1,2013/04/13,6,2,14:03,日産ス,横浜FM,2,1,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,27204
2,2013/04/13,6,3,14:03,豊田ス,名古屋,2,0,新潟,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋,13159
3,2013/04/13,6,4,14:04,ユアスタ,仙台,2,1,Ｆ東京,スカパー！／スカパー！プレミアムサービス,13655
4,2013/04/13,6,5,14:04,大銀ド,大分,2,3,鹿島,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大分,10571
5,2013/04/13,6,6,17:04,アイスタ,清水,1,0,磐田,スカパー！／スカパー！プレミアムサービス,15113
