,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2013,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/23(土),13:36,広島,1-0,柏,国立,34972,日本テレビ系全国ネットにて生中継,15620
1,2013,Ｊ１,第１節第１日,03/02(土),14:04,横浜FM,4-2,湘南,日産ス,24298,スカパー！／スカパー！プレミアムサービス,14837
2,2013,Ｊ１,第１節第１日,03/02(土),14:04,名古屋,1-1,磐田,豊田ス,21748,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ静岡,14838
3,2013,Ｊ１,第１節第１日,03/02(土),14:04,鳥栖,1-1,鹿島,ベアスタ,12728,スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ水戸,14841
4,2013,Ｊ１,第１節第１日,03/02(土),14:05,Ｃ大阪,1-0,新潟,長居,15051,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大阪／ＮＨＫ新潟,14839
5,2013,Ｊ１,第１節第１日,03/02(土),14:06,仙台,1-1,甲府,ユアスタ,16353,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ甲府,14836
6,2013,Ｊ１,第１節第１日,03/02(土),14:06,広島,1-2,浦和,Ｅスタ,27911,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,14840
7,2013,Ｊ１,第１節第１日,03/02(土),16:03,大宮,2-2,清水,ＮＡＣＫ,11330,スカパー！／スカパー！プレミアムサービス／テレ玉,14842
8,2013,Ｊ１,第１節第１日,03/02(土),19:04,大分,1-2,Ｆ東京,大銀ド,17055,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,14843
9,2013,Ｊ１,第１節第２日,03/03(日),13:04,柏,3-1,川崎Ｆ,柏,13785,スカパー！／スカパー！プレミアムサービス,14844
10,2013,Ｊ２,第１節第１日,03/03(日),13:03,栃木,0-1,松本,栃木グ,8686,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）,15142
