,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
2,1994/10/19,13,3,19:03,国立,横浜Ｆ,3,1,広島,,49650,,
3,1994/10/19,13,4,19:03,万博,Ｇ大阪,5,3,名古屋,,17330,,
4,1994/10/19,13,5,19:04,カシマ,鹿島,2,1,横浜M,,15216,,
5,1994/10/19,13,6,19:04,磐田,磐田,2,1,Ｖ川崎,,15078,,
0,1994/10/22,14,1,15:03,国立,横浜M,0,2,Ｖ川崎,,49243,,
1,1994/10/22,14,2,18:33,市原,市原,2,1,平塚,,14635,,
2,1994/10/22,14,3,18:34,長良川,名古屋,0,3,横浜Ｆ,,24817,,
3,1994/10/22,14,4,18:35,広島ビ,広島,1,0,浦和,,15903,,
4,1994/10/22,14,5,19:04,草薙陸,清水,3,1,鹿島,,18160,,
5,1994/10/22,14,6,19:05,神戸ユ,Ｇ大阪,1,1,磐田,,34849,5,4
0,1994/10/26,15,1,19:01,水前寺,横浜Ｆ,0,2,Ｇ大阪,,12241,,
1,1994/10/26,15,2,19:02,カシマ,鹿島,0,1,市原,,15106,,
2,1994/10/26,15,3,19:03,平塚,平塚,4,1,広島,,15094,,
3,1994/10/26,15,4,19:03,磐田,磐田,1,2,横浜M,,14564,,
4,1994/10/26,15,5,19:04,大宮,浦和,1,1,名古屋,,9885,4,3
5,1994/10/26,15,6,19:04,国立,Ｖ川崎,5,1,清水,,51166,,
0,1994/10/29,16,1,14:33,長良川,名古屋,0,4,平塚,,23899,,
1,1994/10/29,16,2,18:33,長崎,横浜Ｆ,1,3,磐田,,14472,,
2,1994/10/29,16,3,19:03,国立,清水,1,3,横浜M,,48157,,
3,1994/10/29,16,4,19:04,万博,Ｇ大阪,4,1,浦和,,18318,,
4,1994/10/29,16,5,19:05,市原,市原,1,3,Ｖ川崎,,14975,,
5,1994/10/29,16,6,19:05,広島ビ,広島,2,4,鹿島,,30621,,
0,1994/11/02,17,1,19:00,平塚,平塚,3,0,Ｇ大阪,,15122,,
1,1994/11/02,17,2,19:01,大宮,浦和,3,1,横浜Ｆ,,9901,,
2,1994/11/02,17,3,19:01,国立,横浜M,3,2,市原,,48677,,
3,1994/11/02,17,4,19:03,カシマ,鹿島,3,3,名古屋,,15608,5,4
